
Account ID,Line Item,Start Time,End Time,Project,Measurement1,Measurement1 Total Consumption,Measurement1 Units,Cost,Currency,Project Number,Project ID,Project Name,Project Labels,Description
000000-000000-000010,com.google.cloud/services/compute-engine/Licensed1000204N1Standard_1,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/Licensed1000204N1Standard_1,2760,seconds,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Licensing Fee for Debian 8 Jessie running on Standard Intel N1 1 VCPU
000000-000000-000011,com.google.cloud/services/compute-engine/Licensed1000204Ram,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/Licensed1000204Ram,11113227878400,byte-seconds,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Licensing Fee for Debian 8 Jessie running on Instance Ram
000000-000000-000012,com.google.cloud/services/compute-engine/Licensed1001006Core,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/Licensed1001006Core,9600,seconds,0.026666,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Licensing Fee for Google Cloud Dataproc running on Instance Core
000000-000000-000013,com.google.cloud/services/compute-engine/Licensed1001006N1Standard_2,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/Licensed1001006N1Standard_2,4800,seconds,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Licensing Fee for Google Cloud Dataproc running on Standard Intel N1 2 VCPU
000000-000000-000014,com.google.cloud/services/compute-engine/Licensed1001006Ram,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/Licensed1001006Ram,38654705664000,byte-seconds,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Licensing Fee for Google Cloud Dataproc running on Instance Ram
000000-000000-000015,com.google.cloud/services/compute-engine/NetworkGoogleEgressNaNa,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkGoogleEgressNaNa,11474125,bytes,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Google Egress from Americas to Americas
000000-000000-000016,com.google.cloud/services/compute-engine/NetworkGoogleIngressNaNa,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkGoogleIngressNaNa,1266001057,bytes,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Google Ingress from Americas to Americas
000000-000000-000017,com.google.cloud/services/compute-engine/NetworkInterConnectIngressNa,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkInterConnectIngressNa,128,bytes,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Ingress via Peered/Interconnect Network - Americas Based
000000-000000-000018,com.google.cloud/services/compute-engine/NetworkInterRegionEgressNaNa,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkInterRegionEgressNaNa,1215712,bytes,0.00001,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Inter Region Egress from Americas to Americas
000000-000000-000019,com.google.cloud/services/compute-engine/NetworkInterRegionIngressApacNa,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkInterRegionIngressApacNa,540,bytes,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Inter Region Ingress from APAC to Americas
000000-000000-000020,com.google.cloud/services/compute-engine/NetworkInterRegionIngressEuNa,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkInterRegionIngressEuNa,2484,bytes,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Inter Region Ingress from EMEA to Americas
000000-000000-000021,com.google.cloud/services/compute-engine/NetworkInterRegionIngressNaNa,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkInterRegionIngressNaNa,4741800,bytes,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Inter Region Ingress from Americas to Americas
000000-000000-000022,com.google.cloud/services/compute-engine/NetworkInterZoneEgress,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkInterZoneEgress,27897578,bytes,0.000259,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Inter Zone Egress
000000-000000-000023,com.google.cloud/services/compute-engine/NetworkInterZoneIngress,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkInterZoneIngress,6543465,bytes,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Inter Zone Ingress
000000-000000-000024,com.google.cloud/services/compute-engine/NetworkInternetEgressNaApac,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkInternetEgressNaApac,120,bytes,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Internet Egress from Americas to APAC
000000-000000-000025,com.google.cloud/services/compute-engine/NetworkInternetEgressNaCn,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkInternetEgressNaCn,5542,bytes,0.000001,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Internet Egress from Americas to China
000000-000000-000026,com.google.cloud/services/compute-engine/NetworkInternetEgressNaEu,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkInternetEgressNaEu,75985,bytes,0.000008,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Internet Egress from Americas to EMEA
000000-000000-000027,com.google.cloud/services/compute-engine/NetworkInternetEgressNaNa,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkInternetEgressNaNa,370115,bytes,0.00004,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Internet Egress from Americas to Americas
000000-000000-000028,com.google.cloud/services/compute-engine/NetworkInternetIngressApacNa,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkInternetIngressApacNa,5099,bytes,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Internet Ingress from APAC to Americas
000000-000000-000029,com.google.cloud/services/compute-engine/NetworkInternetIngressAuNa,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkInternetIngressAuNa,40,bytes,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Internet Ingress from Australia to Americas
000000-000000-000030,com.google.cloud/services/compute-engine/NetworkInternetIngressCnNa,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkInternetIngressCnNa,6023,bytes,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Internet Ingress from China to Americas
000000-000000-000031,com.google.cloud/services/compute-engine/NetworkInternetIngressEuNa,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkInternetIngressEuNa,9738199,bytes,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Internet Ingress from EMEA to Americas
000000-000000-000032,com.google.cloud/services/compute-engine/NetworkInternetIngressNaNa,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkInternetIngressNaNa,134748791,bytes,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Internet Ingress from Americas to Americas
000000-000000-000033,com.google.cloud/services/compute-engine/NetworkIntraZoneEgress,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkIntraZoneEgress,126397756,bytes,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Intra Zone Egress
000000-000000-000034,com.google.cloud/services/compute-engine/NetworkIntraZoneIngress,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/NetworkIntraZoneIngress,126797178,bytes,0,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Network Intra Zone Ingress
000000-000000-000035,com.google.cloud/services/compute-engine/StaticIpCharge,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,449712193911,com.google.cloud/services/compute-engine/StaticIpCharge,86400,seconds,0.24,USD,449712193911,learngcp-1,learngcp-1,,Static Ip Charge
000000-000000-000036,com.google.cloud/services/compute-engine/StoragePdCapacity,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/StoragePdCapacity,2.67969E+15,byte-seconds,0.037269,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Storage PD Capacity
000000-000000-000037,com.google.cloud/services/compute-engine/VmimageN1Standard_1,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/VmimageN1Standard_1,10140,seconds,0.140833,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Standard Intel N1 1 VCPU running in Americas
000000-000000-000038,com.google.cloud/services/compute-engine/VmimageN1Standard_2,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,574501435005,com.google.cloud/services/compute-engine/VmimageN1Standard_2,4800,seconds,0.133333,USD,574501435005,deadpool-cpb100,deadpool-cpb100,,Standard Intel N1 2 VCPU running in Americas
000000-000000-000039,com.googleprod/services/stackdriver/Billable_monitored_resource_usage_free_tier,2016-12-12T00:00:00-08:00,2016-12-13T00:00:00-08:00,449712193911,com.googleprod/services/stackdriver/Billable_monitored_resource_usage_free_tier,10800,seconds,0,USD,449712193911,learngcp-1,learngcp-1,,Basic Tier - Monitored Resource Usage (in Resource Hours)
000000-000000-000040,com.google.cloud/services/cloud-sql/DiskSpaceGb,2016-12-13T00:00:00-08:00,2016-12-14T00:00:00-08:00,449712193911,com.google.cloud/services/cloud-sql/DiskSpaceGb,88905823027200,byte-seconds,0.007406,USD,449712193911,learngcp-1,learngcp-1,,Disk usage
000000-000000-000041,com.google.cloud/services/cloud-sql/IpAddress,2016-12-13T00:00:00-08:00,2016-12-14T00:00:00-08:00,449712193911,com.google.cloud/services/cloud-sql/IpAddress,82800,seconds,0.23,USD,449712193911,learngcp-1,learngcp-1,,IP address idling - hour
000000-000000-000042,com.googleapis/services/pubsub/MessageOperations,2016-12-13T00:00:00-08:00,2016-12-14T00:00:00-08:00,449712193911,com.googleapis/services/pubsub/Message_operation,96,requests,0,USD,449712193911,learngcp-1,learngcp-1,,Message Operations
000000-000000-000043,com.googleprod/services/stackdriver/Billable_monitored_resource_usage_free_tier,2016-12-13T00:00:00-08:00,2016-12-14T00:00:00-08:00,449712193911,com.googleprod/services/stackdriver/Billable_monitored_resource_usage_free_tier,72000,seconds,0,USD,449712193911,learngcp-1,learngcp-1,,Basic Tier - Monitored Resource Usage (in Resource Hours)
